,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,ai 242317 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873607,0.0,0.055488183183
1,ai 413963 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873555,0.0,0.055488183183
2,ai 508678 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873421,0.0,0.055488183183
3,ai 562809 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.1152003578,0.0,0.0119477609586
4,ai 563028 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358309,0.0,0.0119477609586
5,ai 593514 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873635,0.0,0.055488183183
6,ai 603952 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358168,0.0,0.0119477609586
7,ai 622527 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358117,0.0,0.0119477609586
8,ai 649191 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358335,0.0,0.0119477609586
9,ai 651927 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358207,0.0,0.0119477609586
10,ai 664567 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358469,0.0,0.0119477609586
11,ai 764366 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873373,0.0,0.055488183183
12,ai 806149 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873196,0.0,0.055488183183
13,ai 808361 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154037538348,0.0,0.0192725978017
14,ai 839502 stf,0,14,0.264150943396,0.0,0.0,2.4003218857e-10,0.639939064126,0.0
15,ai 844105 stf,0,6,0.11320754717,0.0,0.0,3.26888294211e-10,0.222268733504,0.0
16,ap 634 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936681,0.0,0.0
17,are 675958 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887354,0.0,0.055488183183
18,com 4 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268947,0.0,-1.65142178236e-18
19,ext 1155 stf,0,5,0.0943396226415,0.0,0.0,2.26723001484e-10,0.0,0.0
20,ext 1178 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268544,0.0,-1.65142178236e-18
21,ext 1201 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268971,0.0,-1.65142178236e-18
22,hc 107780 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358053,0.0,0.0119477609586
23,hc 112643 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808762,0.0,0.0
24,hc 113037 stf,0,2,0.0377358490566,0.0,0.0,2.49925219409e-10,0.0,0.0
25,hc 115807 stf,0,10,0.188679245283,0.0,0.0,2.91776047767e-10,0.0,0.0
26,hc 218785 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936731,0.0,0.0
27,hc 257921 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808367,0.0,0.0
28,hc 83250 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936537,0.0,0.0
29,hc 84514 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808743,0.0,0.0
30,hc 84935 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936192,0.0,0.0
31,hc 86997 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808215,0.0,0.0
32,hc 90162 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808517,0.0,0.0
33,hc 90312 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808238,0.0,0.0
34,hc 90654 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808348,0.0,0.0
35,hc 92264 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808348,0.0,0.0
36,hc 95840 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808294,0.0,0.0
37,ppe 612 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268935,0.0,-1.65142178236e-18
38,re 140370 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887322,0.0,0.055488183183
39,re 265185 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873365,0.0,0.055488183183
40,re 445964 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873226,0.0,0.055488183183
41,re 589919 stf,0,9,0.169811320755,0.0,0.0,2.44470582667e-10,0.13779220237,0.0
42,re 596682 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154037537693,0.0,0.0192725978017
43,resp 578585 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.11777071592,0.0,-2.10565115274e-21
44,resp 78334 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.11777071636,0.0,-3.00209101089e-20
45,rhc 115997 stf,0,5,0.0943396226415,0.0,0.0,3.27585181203e-10,0.0,0.0
46,sum. 279 stf,3,0,0.0566037735849,0.0,0.0566037735849,0.382346769405,0.0,0.0867085419434
47,sum. 282 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411357,0.0,0.0747607809847
48,sum. 356 stf,2,0,0.0377358490566,0.0,0.0377358490566,0.267146411051,0.0,0.0747607809847
49,sum. 421 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.106837268486,0.0,-2.19978511144e-17
50,sum. 636 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873265,0.0,0.055488183183
51,sum. 691 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.137491808533,0.0,0.0
52,sum. 696 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.154365936159,0.0,0.0
53,sum. 7 stj,1,0,0.0188679245283,0.0,0.0188679245283,0.154037537822,0.0,0.0192725978017
