,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
24,hc 108778 stf,1,0,0.0125,0.0,0.0125,1.71311536916e-08,-0.0,2.63007815381e-18
25,hc 110974 stf,2,0,0.025,0.0,0.025,-5.4089441285e-08,-0.0,1.62771015666e-17
26,hc 112130 stf,1,0,0.0125,0.0,0.0125,1.71307089991e-08,-0.0,4.76001480484e-17
27,hc 114867 stf,2,0,0.025,0.0,0.025,-4.76045190951e-07,-0.0,-0.0
28,hc 116767 stf,2,0,0.025,0.0,0.025,-5.40910339434e-08,-0.0,1.62771015666e-17
29,hc 118 stj,1,0,0.0125,0.0,0.0125,-3.62242034361e-07,-0.0,-5.12873361343e-18
30,hc 118714 stf,2,0,0.025,0.0,0.025,-5.40913293049e-08,-0.0,1.62771015666e-17
31,hc 122229 stf,1,0,0.0125,0.0,0.0125,4.19983467706e-08,-0.0,5.3433704368e-18
32,hc 125969 stf,0,3,0.0375,0.0,0.0,-1.59884832571e-14,-0.0,-0.0
33,hc 126046 stf,0,3,0.0375,0.0,0.0,-6.68017867957e-14,-0.0,-0.0
34,hc 126409 stf,1,1,0.025,0.000158227848101,0.0125,1.73910463476e-07,-0.0,-0.0
35,hc 126559 stf,0,12,0.15,0.0,0.0,4.84824311952e-14,0.478346107295,-0.0
36,hc 126560 stf,0,12,0.15,0.0,0.0,1.6834529442e-14,0.478346107295,-0.0
37,hc 129734 stf,0,3,0.0375,0.0,0.0,3.02463301128e-14,-0.0,-0.0
38,hc 130037 stf,0,1,0.0125,0.0,0.0,2.03606058758e-14,-0.0,-0.0
39,hc 131924 stf,0,1,0.0125,0.0,0.0,8.3842848201e-14,-0.0,-0.0
40,hc 132454 stf,1,0,0.0125,0.0,0.0125,-3.62238879125e-07,-0.0,-5.12873361343e-18
41,hc 134889 stf,0,2,0.025,0.0,0.0,-2.52179023755e-14,0.0433077854091,-0.0
42,hc 135405 stf,0,1,0.0125,0.0,0.0,1.45432383348e-14,-0.0,-0.0
43,hc 138561 stf,0,7,0.0875,0.0,0.0,2.97943867927e-15,-0.0,-0.0
44,hc 261604 stj,2,0,0.025,0.0,0.025,-5.40887045181e-08,-0.0,1.62771015666e-17
45,hc 312269 stj,1,0,0.0125,0.0,0.0125,-9.19463744182e-08,-0.0,-0.0
46,hc 312379 stj,1,0,0.0125,0.0,0.0125,-3.84089474875e-07,-0.0,-0.0
47,hc 312525 stj,1,0,0.0125,0.0,0.0166666666667,0.999999999997,-0.0,-0.0
48,hc 320145 stj,1,0,0.0125,0.0,0.0125,4.82127273773e-07,-0.0,-0.0
49,hc 356596 stj,1,0,0.0125,0.0,0.0125,-1.44970423189e-07,-0.0,0.00374410624216
50,hc 54663 stj,2,0,0.025,0.0,0.025,3.75542400231e-07,-0.0,0.0827093156263
51,hc 61038 stj,1,0,0.0125,0.0,0.0125,1.73906793474e-07,-0.0,-0.0
52,hc 79238 stf,2,0,0.025,0.0,0.025,3.75539343771e-07,-0.0,0.0827093156263
53,hc 79748 stf,2,0,0.025,0.0,0.025,3.75550105971e-07,-0.0,0.0827093156263
54,hc 79775 stf,2,0,0.025,0.0,0.025,3.75546839438e-07,-0.0,0.0827093156263
55,hc 79776 stf,2,0,0.025,0.0,0.025,3.7553978363e-07,-0.0,0.0827093156263
56,hc 84014 stf,2,0,0.025,0.0,0.025,3.75535681447e-07,-0.0,0.0827093156263
57,hc 85155 stf,1,0,0.0125,0.0,0.0125,4.19902021423e-08,-0.0,5.3433704368e-18
58,hc 85185 stf,2,0,0.025,0.0,0.025,3.75539208157e-07,-0.0,0.0827093156263
59,hc 85826 stf,2,0,0.025,0.0,0.025,3.75525451124e-07,-0.0,0.0827093156263
60,hc 86213 stf,2,0,0.025,0.0,0.025,3.755387321e-07,-0.0,0.0827093156263
61,hc 88229 stf,2,0,0.025,0.0,0.025,3.75532598468e-07,-0.0,0.0827093156263
62,hc 90902 stf,1,0,0.0125,0.0,0.0125,1.71311257104e-08,-0.0,2.63007815381e-18
63,hc 99174 stf,1,0,0.0125,0.0,0.0125,1.71312567557e-08,-0.0,2.63007815381e-18
64,re 140370 stf,1,0,0.0125,0.0,0.0125,-9.60830993285e-08,-0.0,1.09337311298e-17
65,re 236395 stf,1,0,0.0125,0.0,0.0125,-1.75193282634e-07,-0.0,1.12228005981e-18
66,re 550505 stf,1,0,0.0125,0.0,0.0125,-9.60830832927e-08,-0.0,1.56450374344e-17
67,re 866590 stf,0,7,0.0875,0.0,0.0,8.57654283135e-14,-0.0,-0.0
68,re 998092 stf,0,7,0.0875,0.0,0.0,-3.04657439342e-14,-0.0,-0.0
69,rhc 54663 stj,2,0,0.025,0.0,0.025,3.75539184567e-07,-0.0,0.0827093156263
70,rhc 59567 stj,1,0,0.0125,0.0,0.0125,1.17043773981e-07,-0.0,-0.0
71,rhc 61038 stj,1,0,0.0125,0.0,0.0125,1.73907898921e-07,-0.0,-0.0
72,rhc 69809 stj,1,0,0.0125,0.0,0.0125,8.36470556114e-08,-0.0,-0.0
73,sum. 279 stf,3,0,0.0375,0.0,0.0375,-4.43156681565e-08,-0.0,3.65815645996e-17
74,sum. 282 stf,2,0,0.025,0.0,0.025,-5.37434257584e-07,-0.0,-1.17405959112e-17
75,sum. 283 stf,1,0,0.0125,0.0,0.0125,-3.62237793502e-07,-0.0,-5.12873361343e-18
76,sum. 284 stf,1,0,0.0125,0.0,0.0125,-3.62235063421e-07,-0.0,-6.12668884138e-18
77,sum. 287 stf,1,0,0.0125,0.0,0.0125,-9.60816505268e-08,-0.0,1.09337311298e-17
78,sum. 297 stf,1,0,0.0125,0.0,0.0125,-9.6083548747e-08,-0.0,1.09257613057e-17
79,sum. 356 stf,2,0,0.025,0.0,0.025,-5.37433103279e-07,-0.0,-4.25593164585e-18
80,sum. 691 stf,3,0,0.0375,0.0,0.0375,2.30579896596e-07,-0.0,0.0864534218685
