,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,ai 717821 stf,1,0,0.0125,0.0,0.0125,4.93119210366e-07,-0.0,-1.14845461795e-16
1,ai 742460 stf,1,0,0.0125,0.0,0.0125,-3.62239956203e-07,-0.0,-6.12668884138e-18
2,ai 786044 stf,1,0,0.0125,0.0,0.0125,-9.60838291015e-08,-0.0,1.09337311298e-17
3,ai 802331 stf,1,0,0.0125,0.0,0.0125,4.93124734799e-07,-0.0,3.50991786155e-17
4,ai 805701 stf,1,0,0.0125,0.0,0.0125,-9.60818386273e-08,-0.0,1.09337311298e-17
5,ai 841690 stf,1,0,0.0125,0.0,0.0125,-9.6082741058e-08,-0.0,1.09337311298e-17
6,ai 842478 stf,1,0,0.0125,0.0,0.0125,4.93122095957e-07,-0.0,1.31442491857e-17
7,ai 847452 stf,1,0,0.0125,0.0,0.0125,-9.6084200724e-08,-0.0,1.09337311298e-17
8,are 639228 stf,1,0,0.0125,0.0,0.0125,-9.60824417623e-08,-0.0,1.09337311298e-17
9,are 691595 stf,1,0,0.0125,0.0,0.0125,4.93129409175e-07,-0.0,3.50991786155e-17
10,are 696263 stf,1,0,0.0125,0.0,0.0125,4.9312421852e-07,-0.0,3.50991786155e-17
11,are 696347 stf,1,0,0.0125,0.0,0.0125,4.93121649189e-07,-0.0,3.50991786155e-17
12,are 748371 stf,1,0,0.0125,0.0,0.0125,-1.75193138539e-07,-0.0,1.12228005981e-18
13,are 772836 stf,1,0,0.0125,0.0,0.0125,-1.75196507573e-07,-0.0,-4.9939719769e-19
14,are 776423 stf,1,0,0.0125,0.0,0.0125,-1.75189122697e-07,-0.0,1.12228005981e-18
15,are 790511 stf,1,0,0.0125,0.0,0.0125,-3.62239688394e-07,-0.0,-5.12873361343e-18
16,are 823822 stf,1,0,0.0125,0.0,0.0125,4.19958240109e-08,-0.0,5.3433704368e-18
17,are 881117 stf,0,7,0.0875,0.0,0.0,7.29655557987e-15,-0.0,-0.0
18,are 891473 stf,0,13,0.1625,0.0,0.0,-1.6710759219e-14,-0.0,-0.0
19,are 992478 stf,0,9,0.1125,0.0,0.0,-6.30007460262e-14,-0.0,-0.0
20,aresp 728759 stj,1,0,0.0125,0.0,0.0125,1.7130567288e-08,-0.0,2.63007815381e-18
21,hc 103282 stf,2,0,0.025,0.0,0.025,-4.76044577585e-07,-0.0,-0.0
22,hc 104167 stf,1,0,0.0125,0.0,0.0125,1.71310512084e-08,-0.0,2.63007815381e-18
23,hc 105501 stf,1,0,0.0125,0.0,0.0125,1.71308094763e-08,-0.0,2.63007815381e-18
