,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,ai 406566 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0391932123462,0.0,-0.0
1,ai 562241 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0391932101415,0.0,-0.0
2,ai 621999 stf,0,5,0.113636363636,0.0,0.0,-3.39987205056e-11,0.375,-0.0
3,ai 622001 stf,0,5,0.113636363636,0.0,0.0,8.12571676612e-11,0.375,-0.0
4,ai 622527 stf,3,0,0.0681818181818,0.0,0.0681818181818,0.218291754546,0.0,0.222222222222
5,ai 632877 stf,0,3,0.0681818181818,0.0,0.0,2.13418352435e-10,0.25,-0.0
6,ai 649191 stf,3,0,0.0681818181818,0.0,0.0681818181818,0.218291742715,0.0,0.222222222222
7,ai 676991 stf,0,3,0.0681818181818,0.0,0.0,-4.68032279599e-11,0.0,-0.0
8,ap 259 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319113203,0.0,-1.56588446003e-18
9,es 3 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159292859,0.0,-1.10350457208e-32
10,hc 102813 stj,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398652643,0.0,-0.0
11,hc 10435 stj,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398622272,0.0,-0.0
12,hc 59641 stj,1,0,0.0227272727273,0.0,0.0227272727273,0.396535895783,0.0,-2.79648097074e-18
13,hc 70193 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.396535894208,0.0,-2.79648097074e-18
14,hc 72424 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.396535895748,0.0,-3.93896172889e-17
15,hc 72865 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159299049,0.0,-5.98529235586e-33
16,hc 73686 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.396535897245,0.0,-9.47883568859e-18
17,hc 77371 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0391932138698,0.0,-0.0
18,hc 77784 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319091181,0.0,-1.56588446003e-18
19,hc 83263 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319159075,0.0,-1.56588446003e-18
20,hc 84420 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.063331911854,0.0,-1.56588446003e-18
21,hc 84816 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319152094,0.0,9.39530676017e-18
22,hc 84981 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159296345,0.0,-1.10350457208e-32
23,hc 85156 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159297489,0.0,-1.10350457208e-32
24,hc 85237 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319104304,0.0,-5.3240071641e-17
25,hc 85298 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319136961,0.0,1.56588446003e-18
26,hc 85679 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319131103,0.0,-1.56588446003e-18
27,hc 85704 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159296321,0.0,-1.10350457208e-32
28,hc 86560 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398680439,0.0,-0.0
29,hc 86618 stf,1,0,0.0227272727273,0.0,0.0227272727273,0.0633319130527,0.0,-1.56588446003e-18
30,hc 87571 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159296416,0.0,-1.10350457208e-32
31,hc 89675 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.079139865385,0.0,-0.0
32,hc 89970 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398624597,0.0,-0.0
33,hc 90232 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398664224,0.0,-0.0
34,hc 90602 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398584032,0.0,-0.0
35,hc 90617 stf,0,9,0.204545454545,0.0,0.0,7.56289197934e-11,0.0,-0.0
36,hc 90716 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.0791398606111,0.0,-0.0
37,hc 93283 stf,0,7,0.159090909091,0.0,0.0,-1.6140278003e-10,0.0,-0.0
38,hc 94311 stf,0,9,0.204545454545,0.0,0.0,-9.45061529034e-11,0.0,-0.0
39,hc 95010 stf,0,4,0.0909090909091,0.0,0.0,4.73529881972e-10,0.0,-0.0
40,rhc 67267 stj,1,0,0.0227272727273,0.0,0.0227272727273,-0.135159292256,0.0,-1.10350457208e-32
41,sum. 279 stf,3,0,0.0681818181818,0.0,0.0681818181818,0.21829174799,0.0,0.222222222222
42,sum. 282 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.0395743434746,0.0,0.166666666667
43,sum. 356 stf,2,0,0.0454545454545,0.0,0.0454545454545,0.0395743473059,0.0,0.166666666667
44,sum. 691 stf,1,0,0.0227272727273,0.0,0.0227272727273,-0.079139868408,0.0,-0.0
