,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,adi 1275 stf,1,0,0.04,0.0,0.04,0.166401284024,0.0,2.149761972e-17
1,adi 2329 stf,1,0,0.04,0.0,0.04,0.166401283236,0.0,3.73579486432e-17
2,adi 2417 stf,1,0,0.04,0.0,0.04,0.166401277553,0.0,3.73579486432e-17
3,adi 2857 stf,1,0,0.04,0.0,0.04,0.166401274215,0.0,1.72623868794e-17
4,ai 406566 stf,1,0,0.04,0.0,0.04,0.328735310912,0.0,0.0
5,ai 562241 stf,1,0,0.04,0.0,0.04,0.328735298107,0.0,0.0
6,ai 676991 stf,0,3,0.12,0.0,0.0,9.49197109801e-11,0.0,0.0
7,ai 747772 stf,0,1,0.04,0.0,0.0,-6.22697553243e-12,0.0,0.0
8,hc 104285 stf,0,1,0.04,0.0,0.0,-1.70796710108e-12,0.0,0.0
9,hc 135558 stj,1,0,0.04,0.0,0.04,0.184861004216,0.0,0.142857142857
10,hc 42975 stj,1,0,0.04,0.0,0.04,-0.374439261845,0.0,-1.83139303465e-17
11,hc 70193 stf,1,0,0.04,0.0,0.04,-0.212073789273,0.0,0.0
12,hc 76347 stf,1,0,0.04,0.0,0.04,0.184861000313,0.0,0.142857142857
13,hc 77371 stf,1,0,0.04,0.0,0.04,0.328735316533,0.0,0.0
14,hc 79238 stf,1,0,0.04,0.0,0.04,0.184861002232,0.0,0.142857142857
15,hc 79748 stf,1,0,0.04,0.0,0.04,0.184860996198,0.0,0.142857142857
16,hc 79775 stf,1,0,0.04,0.0,0.04,0.184861001914,0.0,0.142857142857
17,hc 79776 stf,1,0,0.04,0.0,0.04,0.184861000001,0.0,0.142857142857
18,hc 84439 stf,1,0,0.04,0.0,0.04,0.0175246859411,0.0,0.0
19,hc 87 stj,1,0,0.04,0.0,0.04,-0.374439266753,0.0,0.0
20,hc 87114 stf,0,2,0.08,0.0,0.0,-9.41224875817e-11,0.0,0.0
21,hc 97479 stf,0,1,0.04,0.0,0.0,-1.90935878219e-11,0.0,0.0
22,hc 99724 stf,0,7,0.28,0.0,0.0,6.24094248503e-11,1.0,0.0
23,re 627255 stf,0,4,0.16,0.0,0.0,3.83297144024e-11,0.0,0.0
24,sum. 288 stf,1,0,0.04,0.0,0.04,-0.0116054884939,0.0,0.0
25,sum. 691 stf,1,0,0.04,0.0,0.04,0.184861002054,0.0,0.142857142857
