,node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority
0,ai 622001 stf,0,7,0.145833333333,0.0,0.0,1.4771728285e-10,0.291502622129,0.0
1,ai 622527 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.176492843991,-0.0,0.0416432317327
2,ai 649191 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.17649284409,-0.0,0.0416432317327
3,ai 703803 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0919011817306,-0.0,0.0253034777811
4,ai 705593 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.20750354493,-0.0,0.0506069555622
5,ai 713692 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.207503544671,-0.0,0.0506069555622
6,ai 718993 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.207503544798,-0.0,0.0506069555622
7,ai 741535 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0919011817618,-0.0,0.0253034777811
8,ai 744686 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.207503544746,-0.0,0.0506069555622
9,ai 746303 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.207503545187,-0.0,0.0506069555622
10,ai 838930 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.207503544917,-0.0,0.0506069555622
11,are 727723 stf,0,6,0.125,0.0,0.0,7.63786672797e-11,0.177124344468,0.0
12,are 737174 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.17649284431,-0.0,0.0416432317327
13,are 782603 stf,0,6,0.125,0.0,0.0,1.81968546134e-12,0.177124344468,0.0
14,are 852331 stf,0,8,0.166666666667,0.0,0.0,1.73502406886e-10,0.354248688935,0.0
15,hc 101004 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.127521027536,-0.0,0.0
16,hc 104075 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.00218030748564,-0.0,0.0253034777811
17,hc 106158 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869093247,-0.0,0.0
18,hc 106991 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869094784,-0.0,0.0
19,hc 107769 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.00218030748753,-0.0,0.0253034777811
20,hc 110055 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.036586909245,-0.0,0.0
21,hc 110404 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0021803076585,-0.0,0.0253034777811
22,hc 116767 stf,0,1,0.0208333333333,0.0,0.0,1.3193085513e-10,-0.0,0.0
23,hc 118568 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869096067,-0.0,0.0
24,hc 119039 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.127521027502,-0.0,0.0
25,hc 120830 stf,0,2,0.0416666666667,0.0,0.0,5.14669470236e-13,-2.12233734498e-17,0.0
26,hc 121603 stf,0,4,0.0833333333333,0.0,0.0,1.07248390724e-10,-8.71277590126e-17,0.0
27,hc 123437 stf,0,3,0.0625,0.0,0.0,9.23898318961e-11,-1.29042010651e-17,0.0
28,hc 124315 stf,0,9,0.1875,0.0,0.0,3.12889228415e-11,-0.0,0.0
29,hc 261604 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.157435110931,-0.0,0.0
30,hc 263174 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.000609281777125,-0.0,0.0
31,hc 290183 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.12752102735,-0.0,0.0
32,hc 45599 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.111213152692,-0.0,0.0
33,mc 22885 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.111213152261,-0.0,0.0
34,re 590964 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0919011817346,-0.0,0.0253034777811
35,re 718807 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0919011817545,-0.0,0.0253034777811
36,rhc 115219 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.00218030739993,-0.0,0.0253034777811
37,rhc 116205 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.00218030734588,-0.0,0.0253034777811
38,rhc 116944 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869095192,-0.0,0.0
39,sum. 21 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869095701,-0.0,0.0
40,sum. 21 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869093187,-0.0,0.0
41,sum. 279 stf,4,0,0.0833333333333,0.0,0.0833333333333,0.478077878273,-0.0,0.142857142857
42,sum. 280 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0919011818351,-0.0,0.0253034777811
43,sum. 282 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.176492844296,-0.0,0.0416432317327
44,sum. 284 stf,2,0,0.0416666666667,0.0,0.0416666666667,0.383996389055,-0.0,0.0922501872949
45,sum. 356 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.176492843965,-0.0,0.0416432317327
46,sum. 64 stf,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869095574,-0.0,0.0
47,sum. 64 stj,1,0,0.0208333333333,0.0,0.0208333333333,0.0365869094912,-0.0,0.0
48,sum. 691 stf,3,0,0.0625,0.0,0.0625,0.239343462442,-0.0,0.0
