node,in,out,centrality,betweeness,closeness,eigenvector,hub,authority,prev,next
adi 2857 stf,1,0,0.04,0.0,0.04,0.166401274215,0.0,1.72623868794e-17,0,0
ai 406566 stf,1,0,0.04,0.0,0.04,0.32873531091200003,0.0,0.0,0,1
ai 406566 stf,1,0,0.04,0.0,0.04,0.32873531091200003,0.0,0.0,0,1
ai 562241 stf,1,0,0.04,0.0,0.04,0.328735298107,0.0,0.0,0,1
ai 562241 stf,1,0,0.04,0.0,0.04,0.328735298107,0.0,0.0,0,1
ai 676991 stf,0,3,0.12,0.0,0.0,9.49197109801e-11,0.0,0.0,0,0
ai 676991 stf,0,3,0.12,0.0,0.0,9.49197109801e-11,0.0,0.0,0,0
ai 747772 stf,0,1,0.04,0.0,0.0,-6.22697553243e-12,0.0,0.0,0,0
hc 104285 stf,0,1,0.04,0.0,0.0,-1.7079671010799998e-12,0.0,0.0,0,0
hc 135558 stj,1,0,0.04,0.0,0.04,0.184861004216,0.0,0.14285714285700002,0,0
hc 42975 stj,1,0,0.04,0.0,0.04,-0.37443926184500004,0.0,-1.83139303465e-17,0,0
hc 70193 stf,1,0,0.04,0.0,0.04,-0.212073789273,0.0,0.0,0,1
hc 70193 stf,1,0,0.04,0.0,0.04,-0.212073789273,0.0,0.0,0,1
hc 70193 stf,1,0,0.04,0.0,0.04,-0.212073789273,0.0,0.0,0,1
hc 76347 stf,1,0,0.04,0.0,0.04,0.184861000313,0.0,0.14285714285700002,0,0
hc 77371 stf,1,0,0.04,0.0,0.04,0.328735316533,0.0,0.0,0,1
hc 77371 stf,1,0,0.04,0.0,0.04,0.328735316533,0.0,0.0,0,1
hc 79238 stf,1,0,0.04,0.0,0.04,0.184861002232,0.0,0.14285714285700002,0,0
hc 79238 stf,1,0,0.04,0.0,0.04,0.184861002232,0.0,0.14285714285700002,0,0
hc 79748 stf,1,0,0.04,0.0,0.04,0.184860996198,0.0,0.14285714285700002,0,0
hc 79748 stf,1,0,0.04,0.0,0.04,0.184860996198,0.0,0.14285714285700002,0,0
hc 79775 stf,1,0,0.04,0.0,0.04,0.18486100191399998,0.0,0.14285714285700002,0,0
hc 79775 stf,1,0,0.04,0.0,0.04,0.18486100191399998,0.0,0.14285714285700002,0,0
hc 79776 stf,1,0,0.04,0.0,0.04,0.184861000001,0.0,0.14285714285700002,0,0
hc 79776 stf,1,0,0.04,0.0,0.04,0.184861000001,0.0,0.14285714285700002,0,0
hc 84439 stf,1,0,0.04,0.0,0.04,0.017524685941099998,0.0,0.0,0,0
hc 87 stj,1,0,0.04,0.0,0.04,-0.37443926675300004,0.0,0.0,0,0
hc 87114 stf,0,2,0.08,0.0,0.0,-9.412248758170001e-11,0.0,0.0,0,0
hc 97479 stf,0,1,0.04,0.0,0.0,-1.90935878219e-11,0.0,0.0,0,0
hc 99724 stf,0,7,0.28,0.0,0.0,6.24094248503e-11,1.0,0.0,0,0
re 627255 stf,0,4,0.16,0.0,0.0,3.8329714402399995e-11,0.0,0.0,0,0
sum. 288 stf,1,0,0.04,0.0,0.04,-0.011605488493899998,0.0,0.0,0,0
sum. 691 stf,1,0,0.04,0.0,0.04,0.18486100205400002,0.0,0.14285714285700002,1,1
sum. 691 stf,1,0,0.04,0.0,0.04,0.18486100205400002,0.0,0.14285714285700002,1,1
sum. 691 stf,1,0,0.04,0.0,0.04,0.18486100205400002,0.0,0.14285714285700002,1,1
sum. 691 stf,1,0,0.04,0.0,0.04,0.18486100205400002,0.0,0.14285714285700002,1,1
sum. 691 stf,1,0,0.04,0.0,0.04,0.18486100205400002,0.0,0.14285714285700002,1,1
ai 242317 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873607,0.0,0.055488183183,0,0
ai 413963 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887355499999,0.0,0.055488183183,0,0
ai 508678 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873421,0.0,0.055488183183,0,0
ai 562809 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.1152003578,0.0,0.0119477609586,0,0
ai 563028 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11520035830900001,0.0,0.0119477609586,0,0
ai 593514 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887363500001,0.0,0.055488183183,0,0
ai 603952 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358168,0.0,0.0119477609586,0,0
ai 622527 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358117,0.0,0.0119477609586,1,0
ai 622527 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358117,0.0,0.0119477609586,1,0
ai 622527 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358117,0.0,0.0119477609586,1,0
ai 649191 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358335,0.0,0.0119477609586,1,0
ai 649191 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358335,0.0,0.0119477609586,1,0
ai 649191 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358335,0.0,0.0119477609586,1,0
ai 651927 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11520035820699999,0.0,0.0119477609586,0,0
ai 664567 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358469,0.0,0.0119477609586,0,0
ai 664567 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.115200358469,0.0,0.0119477609586,0,0
ai 764366 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.113108873373,0.0,0.055488183183,0,0
ai 806149 stf,1,0,0.0188679245283,0.0,0.0188679245283,0.11310887319599999,0.0,0.055488183183,0,0
